1,"11th Street Station Restaurant & Bar",78702,"02/08/2011 08:00 AM +0000",89,"1050 11TH ST
AUSTIN, TEXAS 78702
",30.2691225898,-97.7290705828
2,"11th Street Station Restaurant & Bar",78702,"08/19/2011 07:00 AM +0000",87,"1050 11TH ST
AUSTIN, TEXAS 78702
",30.2691225898,-97.7290705828
3,"15th Street Cafe",78701,"12/23/2008 08:00 AM +0000",97,"303 15TH ST
AUSTIN, TEXAS 78701
",30.2776931288,-97.7424794743
4,"15th Street Cafe",78701,"06/25/2009 07:00 AM +0000",94,"303 15TH ST
AUSTIN, TEXAS 78701
",30.2776931288,-97.7424794743
5,"15th Street Cafe",78701,"12/22/2009 08:00 AM +0000",93,"303 15TH ST
AUSTIN, TEXAS 78701
",30.2776931288,-97.7424794743
6,"15th Street Cafe",78701,"06/23/2010 07:00 AM +0000",93,"303 15TH ST
AUSTIN, TEXAS 78701
",30.2776931288,-97.7424794743
7,"15th Street Cafe",78701,"06/23/2011 07:00 AM +0000",88,"303 15TH ST
AUSTIN, TEXAS 78701
",30.2776931288,-97.7424794743
8,"1st Down and Stassney Sports Bar & Grill",78745,"08/05/2010 07:00 AM +0000",87,"730 STASSNEY LN
AUSTIN, TEXAS 78745
",30.2090298918,-97.7829219859
9,"1st Down and Stassney Sports Bar & Grill",78745,"03/01/2011 08:00 AM +0000",72,"730 STASSNEY LN
AUSTIN, TEXAS 78745
",30.2090298918,-97.7829219859
10,"1st Down and Stassney Sports Bar & Grill",78745,"09/12/2011 07:00 AM +0000",90,"730 STASSNEY LN
AUSTIN, TEXAS 78745
",30.2090298918,-97.7829219859
11,"2 Dine 4 Fine Catering",78702,"04/30/2009 07:00 AM +0000",87,"3008 GONZALES ST
AUSTIN, TEXAS 78702
",30.259373939,-97.7071181321
12,"2 Dine 4 Fine Catering",78702,"11/17/2009 08:00 AM +0000",86,"3008 GONZALES ST
AUSTIN, TEXAS 78702
",30.259373939,-97.7071181321
13,"2 Dine 4 Fine Catering",78702,"07/08/2010 07:00 AM +0000",93,"3008 GONZALES ST
AUSTIN, TEXAS 78702
",30.259373939,-97.7071181321
14,"2 Dine 4 Fine Catering",78702,"03/01/2011 08:00 AM +0000",94,"3008 GONZALES ST
AUSTIN, TEXAS 78702
",30.259373939,-97.7071181321
15,"2 Dine 4 Fine Catering",78702,"08/19/2011 07:00 AM +0000",100,"3008 GONZALES ST
AUSTIN, TEXAS 78702
",30.259373939,-97.7071181321
